year,type,n
2007,Depends,1
2007,Imports,4
2007,Suggests,6
2008,Depends,3
2008,Imports,9
2008,Suggests,9
2009,Depends,6
2009,Imports,15
2009,Suggests,12
2010,Depends,5
2010,Imports,14
2010,Suggests,13
2011,Depends,5
2011,Imports,28
2011,Suggests,17
2012,Depends,13
2012,Imports,42
2012,Suggests,21
2013,Depends,15
2013,Imports,58
2013,Suggests,21
2014,Depends,18
2014,Imports,81
2014,Suggests,43
2015,Depends,38
2015,Imports,122
2015,Suggests,71
2016,Depends,48
2016,Imports,205
2016,Suggests,118
2017,Depends,45
2017,Imports,281
2017,Suggests,142
2018,Depends,38
2018,Imports,298
2018,Suggests,129
2019,Depends,32
2019,Imports,361
2019,Suggests,148
2020,Depends,35
2020,Imports,401
2020,Suggests,201
2021,Depends,46
2021,Imports,509
2021,Suggests,186
2022,Depends,28
2022,Imports,517
2022,Suggests,210
2023,Depends,24
2023,Imports,458
2023,Suggests,154
2024,Depends,41
2024,Imports,466
2024,Suggests,176
2025,Depends,22
2025,Imports,575
2025,Suggests,205
