country,ST339Q04JA,ST339Q06JA,ST341Q01JA,ST341Q02JA,ST341Q03JA,ST341Q04JA,ST341Q05JA
Canada,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree
Canada,Disagree,Agree,Agree,Agree,Agree,Agree,Agree
Canada,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Canada,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree
Canada,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
Canada,Agree,Agree,Agree,Agree,Disagree,Agree,Agree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Agree
Canada,Strongly disagree,Strongly agree,Agree,Agree,Disagree,Disagree,Agree
Canada,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
Canada,Disagree,Agree,Agree,Disagree,Disagree,Strongly agree,Strongly agree
Canada,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree
Canada,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree
Canada,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree
Canada,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree
Canada,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
Canada,Disagree,Agree,Agree,Agree,Agree,Agree,Agree
Canada,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Strongly disagree,Agree,Disagree,Agree,Strongly disagree,Strongly agree,Agree
Canada,Agree,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree
Canada,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Strongly disagree,Strongly agree,Agree,Agree,Agree,Disagree,Agree
Canada,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Canada,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree
Canada,Strongly agree,Disagree,NA,NA,NA,NA,NA
Canada,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Canada,Strongly disagree,Strongly agree,Agree,Agree,Strongly disagree,Disagree,Agree
Canada,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree
Canada,Strongly disagree,Agree,Agree,Agree,Disagree,Agree,Agree
Canada,Strongly disagree,Strongly agree,Agree,Agree,Strongly agree,Agree,Disagree
Canada,Strongly disagree,Strongly agree,Agree,Agree,Disagree,Agree,Agree
Canada,Strongly disagree,Strongly agree,Agree,Disagree,Disagree,Disagree,Agree
Canada,Disagree,Agree,Strongly agree,Strongly agree,Agree,Disagree,Agree
Canada,Strongly disagree,Strongly agree,Agree,Agree,Agree,Agree,Agree
Canada,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Strongly disagree,Agree,Agree,Agree,Disagree,Disagree,Agree
Canada,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
Canada,Disagree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree
Canada,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree
Canada,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree
Canada,Agree,Agree,Agree,Agree,Agree,Agree,Strongly disagree
Canada,Agree,Strongly disagree,Agree,Agree,Disagree,Disagree,Strongly disagree
Canada,Strongly disagree,Strongly agree,Agree,Agree,Disagree,Disagree,Disagree
Canada,Strongly disagree,Strongly agree,Disagree,Disagree,Disagree,Agree,Strongly agree
Canada,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Agree
Canada,Disagree,Strongly agree,Disagree,Agree,Disagree,Disagree,Disagree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Disagree,Strongly agree,Disagree,Agree,Disagree,Disagree,Agree
Canada,Disagree,Agree,Disagree,Agree,Strongly disagree,Agree,Strongly agree
Canada,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree
Canada,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree
Canada,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree
Canada,Strongly disagree,Agree,Disagree,Agree,Agree,Agree,Strongly agree
Canada,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree
Canada,Strongly disagree,Agree,Disagree,Disagree,Disagree,Strongly agree,Agree
Canada,Strongly disagree,Strongly disagree,Agree,Strongly agree,Agree,Agree,Strongly agree
